日期/时间,环境:场地室外空气干球温度[C](小时),热区:空间102:区平均气温[C](小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[kwh](小时),风机:风机电能[kwh](小时),VRF热泵:VRF热泵冷却电能[kwh](小时),VRF热泵:VRF热泵加热电能[kwh](小时)
 01/27  01:00:00,0.4,8.810039051,55.51286947,410.8316766,-1.679972551,60.67669457,0,0,0,0
 01/27  02:00:00,0.4,8.758890478,55.70451966,410.8305981,-1.690203467,61.22647948,0,0,0,0
 01/27  03:00:00,0.4,8.718406841,55.85707258,410.8302134,-1.698158553,61.65302417,0,0,0,0
 01/27  04:00:00,0.4,8.682790582,55.99181481,410.8300762,-1.70516499,62.02798766,0,0,0,0
 01/27  05:00:00,0.4,8.650124152,56.11577128,410.8300272,-1.711606301,62.37208671,0,0,0,0
 01/27  06:00:00,0.4,8.619429996,56.23254473,410.8300097,-1.717668458,62.69536414,0,0,0,0
 01/27  07:00:00,0.4,8.5901653,56.34414027,410.8300035,-1.723455321,63.00342756,0,0,0,0
 01/27  08:00:00,0.4,9.859464733,51.73956467,410.8300008,-1.630357631,57.97927836,5.415881507,0,0,0
 01/27  09:00:00,0.4,10.1776202,50.63260309,410.8300001,-1.554559168,53.86991134,5.415881507,0,0,0
 01/27  10:00:00,0.4,11.85400285,47.01290593,578.0494396,-1.419447213,46.59439693,5.415881507,0,0,0
 01/27  11:00:00,0.4,11.91577108,47.9906421,621.0946947,-1.338776289,42.28100313,5.415881507,0,0,0
 01/27  12:00:00,0.4,11.93044119,48.0342511,616.022295,-1.34407431,42.55640704,5.415881507,0,0,0
 01/27  13:00:00,0.4,11.54729919,48.75783492,571.489433,-1.370036262,43.92471607,5.415881507,0,0,0
 01/27  14:00:00,0.4,11.66079346,48.19236225,571.3002729,-1.374625116,44.164852,5.415881507,0,0,0
 01/27  15:00:00,0.4,11.7369511,48.04598163,579.9809712,-1.3608146,43.43541846,5.415881507,0,0,0
 01/27  16:00:00,0.4,12.18243903,47.287007,627.1976265,-1.321074433,41.36236035,5.415881507,0,0,0
 01/27  17:00:00,0.4,11.97858305,48.00976289,613.7417215,-1.317050659,41.15043498,5.415881507,0,0,0
 01/27  18:00:00,0.4,11.33440131,49.07740215,537.9762368,-1.377007969,44.2981327,5.415881507,0,0,0
 01/27  19:00:00,0.4,10.76392676,49.80081686,465.6886365,-1.447926997,48.08426165,5.415881507,0,0,0
 01/27  20:00:00,0.4,10.45350092,50.09843174,423.0225924,-2.459457395,92.54136414,5.415881507,0,0,0
 01/27  21:00:00,0.4,10.39435896,50.01596143,412.3225878,-2.475060644,92.89522934,5.415881507,0,0,0
 01/27  22:00:00,0.4,10.37624427,49.9965324,411.0127665,-2.479118845,92.98459921,5.415881507,0,0,0
 01/27  23:00:00,0.4,10.36319385,50.01736001,410.8523825,-2.481900464,93.04538216,5.415881507,0,0,0
 01/27  24:00:00,0.4,9.046106387,54.65483335,410.8349785,-2.583786494,94.92638199,0,0,0,0
 07/27  01:00:00,27.18325,28.11041958,72.27316065,411.7712351,1.168760733,33.74071581,0,0,0,0
