日期/时间,环境:场地室外空气干球温度[C](小时),热区:空间102:区平均气温[C](小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[KWh](小时),VRF热泵:VRF热泵冷却电能[kwh](小时),VRF热泵:VRF热泵加热电能[kwh](小时)
 01/01  01:00:00,2.9625,11.57280702,48.95823512,411.5317577,-1.175601385,34.0641188,0,0,0
 01/01  02:00:00,2.8125,11.45505871,51.56731829,411.0803118,-1.187199888,34.62459406,0,0,0
 01/01  03:00:00,2.5125,11.31214895,52.50881729,410.9192201,-1.206046892,35.54396908,0,0,0
 01/01  04:00:00,2.2125,11.17509691,52.441668,410.8617775,-1.227617788,36.60844484,0,0,0
 01/01  05:00:00,1.975,11.05560631,52.03418245,410.8413114,-1.248776611,37.66470133,0,0,0
 01/01  06:00:00,1.7125,10.93822954,51.44478071,410.8340245,-1.268487903,38.65930775,0,0,0
 01/01  07:00:00,1.6,10.85099049,50.75657795,410.8314312,-1.287557064,39.63027194,0,0,0
 01/01  08:00:00,1.6625,15.34597289,37.59520398,410.8305456,-1.922952646,72.2780651,0.09590466,0,16.85034168
 01/01  09:00:00,1.8875,15.99999493,35.67145664,410.830205,-1.717057257,62.66279593,0.09590466,0,12.78704768
 01/01  10:00:00,2.1875,16.00003457,38.45656481,602.6284893,-1.699462192,61.72253025,0.09590466,0,4.848322386
 01/01  11:00:00,2.4875,16.00009805,40.27307381,719.4533274,-1.684284722,60.90860677,0.09590466,0,6.388357689
 01/01  12:00:00,2.725,16.00011919,40.75469326,750.8043703,-1.677905064,60.56550981,0.09590466,0,5.639845821
 01/01  13:00:00,2.925,16.00012276,40.13137049,717.4595568,-1.677078468,60.52102774,0.09590466,0,7.417449422
 01/01  14:00:00,3.0625,16.00011731,39.58479051,701.9680579,-1.677079394,60.52107887,0.09590466,0,6.204721329
 01/01  15:00:00,3.1625,16.00011836,39.28567477,707.9963458,-1.675914961,60.45839013,0.09590466,0,5.74512865
 01/01  16:00:00,3.2,16.00012992,39.74098264,762.0813403,-1.671519599,60.2216044,0.09590466,0,3.024840644
 01/01  17:00:00,3.2,16.00013994,39.59818149,769.7370386,-1.669005966,60.08612201,0.09590466,0,4.79014697
 01/01  18:00:00,3.2,16.00011278,38.34299526,685.7918641,-1.672812192,60.2912578,0.09590466,0,7.861736026
 01/01  19:00:00,3.1375,16.00007019,36.83089981,574.0744141,-1.679283555,60.63968149,0.09590466,0,9.374163819
 01/01  20:00:00,3.1,16.00003198,35.70805777,486.9286057,-1.684651595,60.92834427,0.09590466,0,10.12770215
 01/01  21:00:00,3.0375,16.0000096,35.25039141,441.9620731,-1.686735415,61.04030966,0.09590466,0,10.20942662
 01/01  22:00:00,3,15.99999847,35.19903822,423.5646475,-0.721497127,15.95425199,0.09590466,0,10.2504279
 01/01  23:00:00,2.9375,15.99999472,35.35149471,416.038838,-0.720014942,15.90885755,0.09590466,0,10.31459164
