日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时)
 01/01  01:00:00,2.9625,12.24659867,46.84087324,410.8383785,-1.039728107,27.82277983,0,0,0
 01/01  02:00:00,2.8125,12.10466282,49.40840031,410.8329814,-1.056524036,28.55976195,0,0,0
 01/01  03:00:00,2.5125,11.94524525,50.35856943,410.8310602,-1.078845806,29.5553214,0,0,0
 01/01  04:00:00,2.2125,11.79456875,50.33445401,410.8303768,-1.10328019,30.66485356,0,0,0
 01/01  05:00:00,1.975,11.66298594,49.9800983,410.8301338,-1.126972704,31.75978677,0,0,0
 01/01  06:00:00,1.7125,11.5344096,49.44804027,410.8300475,-1.149030165,32.79597486,0,0,0
 01/01  07:00:00,1.6,11.43659401,48.81928503,410.8300169,-1.170306222,33.80959429,0,0,0
 01/01  08:00:00,1.6625,16.89192974,34.11389938,410.8300044,-1.74748114,63.50682993,5.415881507,0,35.53366883
 01/01  09:00:00,1.8875,17.99924733,31.36556168,410.8300006,-1.462289867,48.856596,5.415881507,0,33.72037096
 01/01  10:00:00,2.1875,18.00041637,34.29255124,572.7731123,-1.44108312,47.71314139,5.415881507,0,22.93143925
 01/01  11:00:00,2.4875,18.001086,35.62777331,615.6367241,-1.424668254,46.83080853,5.415881507,0,24.2504897
 01/01  12:00:00,2.725,18.00121063,35.71953185,613.8253663,-1.419027038,46.52845231,5.415881507,0,23.19636333
 01/01  13:00:00,2.925,18.00116971,34.85534407,574.133672,-1.418701942,46.5110346,5.415881507,0,24.91392485
 01/01  14:00:00,3.0625,18.00107691,34.32692222,570.0774014,-1.418545572,46.50265809,5.415881507,0,23.34108791
 01/01  15:00:00,3.1625,18.00109182,34.07375252,577.9330946,-1.41668875,46.40324089,5.415881507,0,22.68083192
 01/01  16:00:00,3.2,18.00123438,34.58366576,622.5310493,-1.411385964,46.11960458,5.415881507,0,19.79155358
 01/01  17:00:00,3.2,18.00132697,34.33132322,613.4657143,-1.408563645,45.96875254,5.415881507,0,21.45291394
 01/01  18:00:00,3.2,18.00099615,33.0711199,541.8289234,-1.41252101,46.18028108,5.415881507,0,24.95323419
 01/01  19:00:00,3.1375,18.00054338,31.78144342,470.5566202,-1.418427533,46.49635206,5.415881507,0,27.3454391
 01/01  20:00:00,3.1,18.00018414,30.98180151,427.2999891,-1.422531149,46.71620311,5.415881507,0,28.49254241
 01/01  21:00:00,3.0375,18.00001434,30.81126403,413.7607848,-1.423005534,46.74163041,5.415881507,0,28.6376765
 01/01  22:00:00,3,17.99994961,30.92937201,411.351439,-0.4568821,9.356786146,5.415881507,0,28.7208708
 01/01  23:00:00,2.9375,17.99994314,31.15576244,410.9227643,-0.454419102,9.309609502,5.415881507,0,28.84023838
 01/01  24:00:00,2.9,13.57256318,41.85303485,410.8557561,-0.759248615,18.13250135,0,0,0
 01/02  01:00:00,2.8375,12.18039728,45.95870471,410.8383777,-1.051329387,28.33166923,0,0,0
 01/02  02:00:00,2.7375,12.04061834,46.78508793,410.8329797,-1.076676447,29.45763052,0,0,0
 01/02  03:00:00,2.6375,11.92913792,47.73951833,410.8310599,-1.094995007,30.28588085,0,0,0
 01/02  04:00:00,2.5375,11.83195791,48.72679046,410.830377,-1.110036839,30.9747097,0,0,0
 01/02  05:00:00,2.375,11.72718969,49.80626526,410.8301341,-1.124723206,31.65472358,0,0,0
 01/02  06:00:00,2.2375,11.62811552,50.90943743,410.8300477,-1.139407318,32.3415508,0,0,0
 01/02  07:00:00,2.075,11.53113443,51.74446329,410.830017,-1.152847771,32.97648022,0,0,0
 01/02  08:00:00,2,16.84852782,36.88545315,410.8300044,-1.741205226,63.23517042,5.415881507,0,35.41028554
 01/02  09:00:00,2.25,17.99875224,33.91640159,410.8300006,-1.453905498,48.40384708,5.415881507,0,33.97165078
 01/02  10:00:00,2.775,18.00050275,36.59473512,572.7280453,-1.432602102,47.25708122,5.415881507,0,22.31734533
 01/02  11:00:00,3.3125,18.00139834,37.19507691,615.6652604,-1.417174901,46.42927172,5.415881507,0,22.73006586
 01/02  12:00:00,3.875,18.00167882,35.88959565,613.9716721,-1.415532922,46.34137805,5.415881507,0,20.51755646
 01/02  13:00:00,4.6,18.00167831,33.53582919,574.4334699,-1.417266567,46.4341811,5.415881507,0,20.61534757
 01/02  14:00:00,5.4625,18.0015527,31.71886312,570.5482942,-1.41861318,46.50627692,5.415881507,0,16.4907003
 01/02  15:00:00,6.4875,18.00141259,30.75870488,578.6852398,-1.417154086,46.42815469,5.415881507,0,14.37376121
