Date/Time,环境: 现场室外空气干球温度 [C](Hourly),热区: 空间102: 区域平均气温 [C](Hourly),热区: 空间102: 区域空气相对湿度[%](Hourly),热区: 空间102: 区域空气二氧化碳浓度 [ppm](Hourly),区域热舒适吸管模型 pmv [](Hourly),区域热舒适吸血鬼模型 ppd [%](Hourly),电源风扇: 风扇电能 [KWH](Hourly),热区: 空间102 vrf 供应风扇: 风扇电能 [KWH](Hourly),Vrf 热泵: vrf 热泵冷却电能 [KWH](Hourly),Vrf 热泵: vrf 热泵加热电能[KWH](Hourly),热回收: 热交换器电能 [KWH](Hourly) 
 01/27  01:00:00,0.4,8.993640504,54.83104746,411.0097533,-1.643530189,58.70921466,0,0,0,0,0
 01/27  02:00:00,0.4,8.936632649,55.04004387,410.8940885,-1.654946872,59.3270164,0,0,0,0,0
 01/27  03:00:00,0.4,8.891793019,55.20616792,410.852854,-1.663761946,59.80319557,0,0,0,0,0
 01/27  04:00:00,0.4,8.852490516,55.3527189,410.838151,-1.671495758,60.22031381,0,0,0,0,0
 01/27  05:00:00,0.4,8.81652875,55.48737714,410.8329075,-1.678588628,60.60228697,0,0,0,0,0
 01/27  06:00:00,0.4,8.782790723,55.61410981,410.8310372,-1.685253476,60.96067504,0,0,0,0,0
 01/27  07:00:00,0.4,8.75065789,55.73513912,410.8303701,-1.691608862,61.30191236,0,0,0,0,0
 01/27  08:00:00,0.4,10.2047036,50.56297831,410.8301301,-1.585332558,55.5372437,0.09590466,0,0,0,0
 01/27  09:00:00,0.4,10.58202814,49.28317278,410.8300375,-1.497017415,50.73816106,0.09590466,0,0,0,0
 01/27  10:00:00,0.4,12.36159851,45.85282486,627.5309857,-1.353850394,43.14133606,0.09590466,0,0,0,0
 01/27  11:00:00,0.4,12.42657791,47.31465733,751.8447644,-1.266786931,38.57516631,0.09590466,0,0,0,0
 01/27  12:00:00,0.4,12.4495401,47.48931973,767.1706932,-1.271010567,38.78701563,0.09590466,0,0,0,0
 01/27  13:00:00,0.4,12.05416518,48.19105714,717.2403055,-1.296940631,40.11566591,0.09590466,0,0,0,0
 01/27  14:00:00,0.4,12.16735537,47.535363,700.0596554,-1.302866301,40.41678363,0.09590466,0,0,0,0
 01/27  15:00:00,0.4,12.2479313,47.38362398,709.1788023,-1.288220414,39.66414025,0.09590466,0,0,0,0
 01/27  16:00:00,0.4,12.7239477,46.69300634,772.2949554,-1.245869426,37.52571924,0.09590466,0,0,0,0
 01/27  17:00:00,0.4,12.50487802,47.54826763,773.7243146,-1.241094399,37.281864,0.09590466,0,0,0,0
 01/27  18:00:00,0.4,11.83242804,48.47632135,672.919106,-1.303909769,40.48107139,0.09590466,0,0,0,0
 01/27  19:00:00,0.4,11.23991851,48.8813875,550.9811511,-1.377725258,44.33344798,0.09590466,0,0,0,0
 01/27  20:00:00,0.4,10.89549416,48.95070096,463.2997115,-2.393924285,90.93591623,0.09590466,0,0,0,0
 01/27  21:00:00,0.4,10.83259671,48.70289727,426.9428328,-2.411131041,91.38172508,0.09590466,0,0,0,0
 01/27  22:00:00,0.4,10.81368711,48.60900742,415.7788644,-2.41555665,91.49306231,0.09590466,0,0,0,0
 01/27  23:00:00,0.4,10.80017534,48.59960976,412.3501051,-2.418490385,91.56630724,0.09590466,0,0,0,0
 01/27  24:00:00,0.4,9.281479808,53.80954645,411.3650397,-2.535284507,94.00408502,0,0,0,0,0
 07/27  01:00:00,27.18325,28.13760207,72.16506561,411.9781844,1.179820759,34.27314833,0,0,0,0,0
 07/27  02:00:00,26.8555,27.91453741,73.10443511,411.8463272,1.127979526,31.80810464,0,0,0,0,0
 07/27  03:00:00,26.622625,27.763814,73.74857154,411.7979751,1.091956818,30.14883363,0,0,0,0,0
 07/27  04:00:00,26.415625,27.6300751,74.32636311,411.7802508,1.057107441,28.58676426,0,0,0,0,0
 07/27  05:00:00,26.25175,27.50705292,74.86262554,411.7737554,1.022211332,27.06576051,0,0,0,0,0
 07/27  06:00:00,26.28625,27.44435485,75.1375288,411.7713759,0.994591537,25.89296525,0,0,0,0,0
 07/27  07:00:00,26.639875,27.50974577,74.85085822,411.7705044,0.990150756,25.70748553,0,0,0,0,0
 07/27  08:00:00,27.554125,29.7981734,65.62516374,411.7701857,1.23714411,37.42370085,0.09590466,0,0,0,0
 07/27  09:00:00,28.813375,30.80709773,61.86937748,411.770053,1.484941238,50.08404547,0.09590466,0,0,0,0
 07/27  10:00:00,30.038125,31.57590861,64.45292368,639.6324358,1.624291189,57.65369614,0.09590466,0,0,0,0
 07/27  11:00:00,31.124875,31.82150955,66.42093074,757.8294709,1.737936774,63.77079236,0.09590466,0,0,0,0
 07/27  12:00:00,31.94425,32.04380935,66.10788513,774.9982605,1.783150465,66.14505088,0.09590466,0,0,0,0
 07/27  13:00:00,32.548,32.12469902,64.70306687,723.8821187,1.799244684,66.98095068,0.09590466,0,0,0,0
 07/27  14:00:00,32.970625,32.28426718,63.81918448,708.0564513,1.819363646,68.01477289,0.09590466,0,0,0,0
 07/27  15:00:00,33.1,32.37411353,63.77501299,717.2746638,1.84985463,69.56405463,0.09590466,0,0,0,0
 07/27  16:00:00,32.84125,32.46097707,65.05790085,782.9205336,1.888749476,71.49842307,0.09590466,0,0,0,0
 07/27  17:00:00,32.341,32.35420559,65.46899163,782.9911364,1.89991621,72.04876267,0.09590466,0,0,0,0
 07/27  18:00:00,31.70275,32.12303801,63.78150092,678.0918895,1.856734217,69.90375233,0.09590466,0,0,0,0
 07/27  19:00:00,30.797125,31.83269008,61.79472477,553.9870531,1.787017874,66.34103961,0.09590466,0,0,0,0
 07/27  20:00:00,29.934625,31.55805765,60.61824372,466.6303824,0.668182318,14.38806335,0.09590466,0,0,0,0
 07/27  21:00:00,29.261875,31.36585725,60.35385363,428.9191137,0.622640214,13.13607374,0.09590466,0,0,0,0
 07/27  22:00:00,28.640875,31.20050163,60.63027607,417.1245949,0.595404645,12.43304731,0.09590466,0,0,0,0
 07/27  23:00:00,28.106125,31.0492014,61.06209112,413.4398093,0.571356061,11.83927176,0.09590466,0,0,0,0
 07/27  24:00:00,27.623125,29.0963362,68.32858363,412.381071,0.36913467,8.209427892,0,0,0,0,0
 01/01  01:00:00,2.9625,10.83305996,51.42167049,411.0152913,-1.324032625,41.51099025,0,0,0,0,0
 01/01  02:00:00,2.8125,10.74996974,54.03616128,410.8962643,-1.328361782,41.73618461,0,0,0,0,0
 01/01  03:00:00,2.5125,10.62862968,54.94832539,410.8536784,-1.342798527,42.48974712,0,0,0,0,0
 01/01  04:00:00,2.2125,10.50828396,54.8216451,410.8384542,-1.360937271,43.44206008,0,0,0,0,0
