Date/Time,环境:场地室外空气干球温度 [C](小时),热区: 空间102:区平均气温[C](小时),热区: 空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能 [KW.h](小时),热区: 空间102 VRF风机:风机电能 [KW.h](小时),VRF热泵:VRF热泵冷却电能[KW.h](小时),VRF热泵:VRF热泵加热电能[KW.h](小时)
 01/27  01:00:00,0.4,8.938297383,55.03559842,410.9132392,-1.654517335,59.30375979,0,0,0,0
 01/27  02:00:00,0.4,8.883172241,55.23897087,410.8596837,-1.665551922,59.89978331,0,0,0,0
 01/27  03:00:00,0.4,8.839702551,55.40082628,410.8405872,-1.674096739,60.36044577,0,0,0,0
 01/27  04:00:00,0.4,8.801544675,55.54372189,410.8337767,-1.681604815,60.76453904,0,0,0,0
 01/27  05:00:00,0.4,8.766597247,55.67510348,410.8313474,-1.688497188,61.13490032,0,0,0,0
 01/27  06:00:00,0.4,8.733790592,55.79880799,410.8304808,-1.694977649,61.48257916,0,0,0,0
 01/27  07:00:00,0.4,8.702531735,55.91698136,410.8301716,-1.701159798,61.81373296,0,0,0,0
 01/27  08:00:00,0.4,10.08981248,50.95101385,410.8300565,-1.599678513,56.31588058,0.383618639,0,0,0
 01/27  09:00:00,0.4,10.44570328,49.73351186,410.830014,-1.515858628,51.7622789,0.383618639,0,0,0
 01/27  10:00:00,0.4,12.20857643,46.22145747,618.4242051,-1.374117439,44.20167853,0.383618639,0,0,0
 01/27  11:00:00,0.4,12.27351286,47.57694505,724.2149484,-1.288096787,39.66005348,0.383618639,0,0,0
 01/27  12:00:00,0.4,12.29483846,47.71995313,732.2245956,-1.292626293,39.88986692,0.383618639,0,0,0
 01/27  13:00:00,0.4,11.90285521,48.42692595,681.9790767,-1.318481523,41.22700454,0.383618639,0,0,0
 01/27  14:00:00,0.4,12.01461861,47.79085119,667.900558,-1.324355702,41.52850613,0.383618639,0,0,0
 01/27  15:00:00,0.4,12.09420745,47.64023955,677.4543351,-1.309878159,40.77773391,0.383618639,0,0,0
 01/27  16:00:00,0.4,12.56479194,46.92748962,737.6996919,-1.267993687,38.64048032,0.383618639,0,0,0
 01/27  17:00:00,0.4,12.34735715,47.76128498,735.3762559,-1.263505751,38.40886059,0.383618639,0,0,0
 01/27  18:00:00,0.4,11.67942131,48.72988854,638.6521683,-1.325888425,41.61782906,0.383618639,0,0,0
 01/27  19:00:00,0.4,11.0878708,49.22216509,527.259529,-1.399434512,45.48614548,0.383618639,0,0,0
 01/27  20:00:00,0.4,10.74920957,49.35212281,450.5415421,-2.41495887,91.47445799,0.383618639,0,0,0
 01/27  21:00:00,0.4,10.68732894,49.14282034,421.4142881,-2.43180626,91.89326698,0.383618639,0,0,0
 01/27  22:00:00,0.4,10.66833604,49.06812398,413.6515228,-2.436185574,91.99893376,0.383618639,0,0,0
 01/27  23:00:00,0.4,10.65466984,49.06748371,411.5822175,-2.439125567,92.06931979,0.383618639,0,0,0
 01/27  24:00:00,0.4,9.209167278,54.06773362,411.077744,-2.550474329,94.30622566,0,0,0,0
 07/27  01:00:00,27.18325,28.10677229,72.29114412,411.8590554,1.167068615,33.65993354,0,0,0,0
 07/27  02:00:00,26.8555,27.88540655,73.22741468,411.8026539,1.115826135,31.24360076,0,0,0,0
 07/27  03:00:00,26.622625,27.73541171,73.87047952,411.7819693,1.079862052,29.60185766,0,0,0,0
 07/27  04:00:00,26.415625,27.60226911,74.44706777,411.7743863,1.044847348,28.04740014,0,0,0,0
 07/27  05:00:00,26.25175,27.47991901,74.98148082,411.7716071,1.010148966,26.55051494,0,0,0,0
 07/27  06:00:00,26.28625,27.41787034,75.25405928,411.7705888,0.982737839,25.39897171,0,0,0,0
 07/27  07:00:00,26.639875,27.48351334,74.96579905,411.7702159,0.978465814,25.22249932,0,0,0,0
 07/27  08:00:00,27.554125,29.72355477,65.90256341,411.7700743,1.221434962,36.63943721,0.383618639,0,0,0
 07/27  09:00:00,28.813375,30.72371825,62.16474105,411.7700179,1.464165377,48.95963908,0.383618639,0,0,0
 07/27  10:00:00,30.038125,31.51699133,64.4066132,629.1193918,1.605891294,56.65791735,0.383618639,0,0,0
 07/27  11:00:00,31.124875,31.7863938,65.8196282,727.025586,1.71772394,62.69730953,0.383618639,0,0,0
 07/27  12:00:00,31.94425,32.02821745,65.24646124,735.723569,1.763767423,65.132179,0.383618639,0,0,0
 07/27  13:00:00,32.548,32.1256121,63.76824746,683.9908442,1.781928939,66.08258501,0.383618639,0,0,0
 07/27  14:00:00,32.970625,32.29509487,62.93230361,671.4803212,1.805041332,67.27894253,0.383618639,0,0,0
 07/27  15:00:00,33.1,32.3876643,62.8889818,681.1464342,1.836770157,68.90255915,0.383618639,0,0,0
 07/27  16:00:00,32.84125,32.46589491,64.12475524,743.5390938,1.874574817,70.79825013,0.383618639,0,0,0
 07/27  17:00:00,32.341,32.34801893,64.46359647,739.4833797,1.882795635,71.20758771,0.383618639,0,0,0
 07/27  18:00:00,31.70275,32.10445987,62.91378792,639.2533418,1.838369233,68.97786589,0.383618639,0,0,0
 07/27  19:00:00,30.797125,31.79425311,61.27307366,527.1484243,1.768834944,65.3930584,0.383618639,0,0,0
 07/27  20:00:00,29.934625,31.49809595,60.46326925,452.0164843,0.649786451,13.87374583,0.383618639,0,0,0
 07/27  21:00:00,29.261875,31.28761102,60.46364758,422.5365396,0.603666765,12.6434245,0.383618639,0,0,0
 07/27  22:00:00,28.640875,31.10403116,60.90178814,414.6472469,0.574735414,11.92163357,0.383618639,0,0,0
 07/27  23:00:00,28.106125,30.93599816,61.43438862,412.5380508,0.548312807,11.29429849,0.383618639,0,0,0
 07/27  24:00:00,27.623125,29.04655295,68.51220383,412.031314,0.35171311,7.919768823,0,0,0,0
 01/01  01:00:00,2.9625,10.78344798,51.59259043,410.9164232,-1.333929007,42.02616883,0,0,0,0
 01/01  02:00:00,2.8125,10.70205846,54.20895174,410.8609123,-1.337913365,42.234207,0,0,0,0
 01/01  03:00:00,2.5125,10.58188352,55.11984722,410.8410479,-1.352114109,42.97804133,0,0,0,0
 01/01  04:00:00,2.2125,10.46249743,54.98948571,410.8339452,-1.370057377,43.92308546,0,0,0,0
 01/01  05:00:00,1.975,10.35805346,54.51093911,410.8314079,-1.388126484,44.8801944,0,0,0,0
 01/01  06:00:00,1.7125,10.25425542,53.84763301,410.8305022,-1.405049301,45.78129805,0,0,0,0
 01/01  07:00:00,1.6,10.17961054,53.08430282,410.830179,-1.421547689,46.66355212,0,0,0,0
 01/01  08:00:00,1.6625,11.54654102,47.95356111,410.830059,-1.325458756,41.62969724,0.383618639,0,0,0
 01/01  09:00:00,1.8875,11.94767797,46.34319508,410.8300147,-1.241672133,37.30854225,0.383618639,0,0,0
 01/01  10:00:00,2.1875,13.77086488,43.51399879,618.6994891,-1.094448693,30.40358226,0.383618639,0,0,0
 01/01  11:00:00,2.4875,13.95891522,44.82776921,725.0761701,-0.995049911,25.91400588,0.383618639,0,0,0
 01/01  12:00:00,2.725,14.05274907,44.75606975,733.3892829,-0.990808693,25.73481043,0.383618639,0,0,0
 01/01  13:00:00,2.925,13.7155729,44.86673306,681.5907226,-1.011169642,26.59826448,0.383618639,0,0,0
 01/01  14:00:00,3.0625,13.8841275,43.69912532,669.1065011,-1.011575476,26.61114419,0.383618639,0,0,0
 01/01  15:00:00,3.1625,13.99927921,43.05978115,678.7032637,-0.994841642,25.90319081,0.383618639,0,0,0
 01/01  16:00:00,3.2,14.4811992,42.27824652,739.1121657,-0.952446972,24.17126173,0.383618639,0,0,0
 01/01  17:00:00,3.2,14.27597216,42.7134448,736.9466288,-0.947176443,23.9525701,0.383618639,0,0,0
 01/01  18:00:00,3.2,13.61715518,43.17623582,640.0429931,-1.008358757,26.49087783,0.383618639,0,0,0
 01/01  19:00:00,3.1375,13.02001785,43.38906681,528.1968603,-1.081025802,29.66317953,0.383618639,0,0,0
 01/01  20:00:00,3.1,12.66450989,43.51683609,451.0223207,-2.097935602,80.98045008,0.383618639,0,0,0
 01/01  21:00:00,3.0375,12.58416818,43.60308449,421.6101622,-2.115288239,81.68704764,0.383618639,0,0,0
 01/01  22:00:00,3,12.55224336,43.87529434,413.7214331,-2.120481307,81.89489419,0.383618639,0,0,0
 01/01  23:00:00,2.9375,12.52566294,44.27234248,411.6055302,-2.122610781,81.97970401,0.383618639,0,0,0
