日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时),,,
 01/01  01:00:00,2.9625,13.43751936,43.33028149,411.0299844,-0.800578802,18.51461844,0,0,0,,,
 01/01  02:00:00,2.8125,13.2585394,45.81349707,410.9008619,-0.825102718,19.36143677,0,0,0,,,36000000
 01/01  03:00:00,2.5125,13.07167523,46.77037742,410.8550953,-0.853142236,20.36149999,0,0,0,,,
 01/01  04:00:00,2.2125,12.89765964,46.81210728,410.838882,-0.882440292,21.44109734,0,0,0,,,
 01/01  05:00:00,1.975,12.74501291,46.54164348,410.8331421,-0.910504902,22.50792868,0,0,0,,,
 01/01  06:00:00,1.7125,12.5967219,46.10144531,410.8311111,-0.936651862,23.53090711,0,0,0,,,
 01/01  07:00:00,1.6,12.48017942,45.56866639,410.8303928,-0.96178093,24.53899934,0,0,0,,,
 01/01  08:00:00,1.6625,18.32259611,31.25744146,410.8301383,-1.524275802,52.20071494,0.038361864,0,3.058453607,,,
 01/01  09:00:00,1.8875,19.92410376,27.83851512,410.8300393,-1.17993143,34.27359545,0.038361864,0,3.067578502,,,
 01/01  10:00:00,2.1875,21.0110242,29.69566271,607.0658605,-1.075007314,29.43577331,0.038361864,0,3.05002348,,,
 01/01  11:00:00,2.4875,21.06710362,31.89940199,707.4215304,-1.011264669,26.59665272,0.038361864,0,3.049863415,,,
 01/01  12:00:00,2.725,21.21118561,32.03409219,721.4068374,-0.992599179,25.8098653,0.038361864,0,3.0545517,,,
 01/01  13:00:00,2.925,21.1064946,31.3482244,678.3379528,-0.993216659,25.83590167,0.038361864,0,3.063868373,,,
 01/01  14:00:00,3.0625,21.29451021,30.44877895,664.1751473,-0.982812259,25.4025656,0.038361864,0,3.072241252,,,
 01/01  15:00:00,3.1625,21.40746132,30.13362216,671.5194185,-0.966324756,24.72370861,0.038361864,0,3.076281985,,,
 01/01  16:00:00,3.2,21.71154963,30.50274722,726.6264201,-0.935894041,23.5033115,0.038361864,0,3.076233419,,,
 01/01  17:00:00,3.2,21.61111823,30.66141412,727.7296506,-0.926974414,23.14839938,0.038361864,0,3.078914308,,,
 01/01  18:00:00,3.2,21.28590946,29.5017582,640.0914981,-0.954523254,24.24899773,0.038361864,0,3.081091025,,,
 01/01  19:00:00,3.1375,21.02115477,27.86439879,534.8790256,-0.991329127,25.7591292,0.038361864,0,3.082213305,,,
 01/01  20:00:00,3.1,20.87234151,26.63171893,459.8692738,-1.017228814,26.8515467,0.038361864,0,3.079672385,,,
