Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,10.78344798,51.59259043,410.9164232,-1.333929007
 01/01  02:00:00,2.8125,10.70205846,54.20895174,410.8609123,-1.337913365
 01/01  03:00:00,2.5125,10.58188352,55.11984722,410.8410479,-1.352114109
 01/01  04:00:00,2.2125,10.46249743,54.98948571,410.8339452,-1.370057377
 01/01  05:00:00,1.975,10.35805346,54.51093911,410.8314079,-1.388126484
 01/01  06:00:00,1.7125,10.25425542,53.84763301,410.8305022,-1.405049301
 01/01  07:00:00,1.6,10.17961054,53.08430282,410.830179,-1.421547689
 01/01  08:00:00,1.6625,11.54654102,47.95356111,410.830059,-1.325458756
 01/01  09:00:00,1.8875,11.94767797,46.34319508,410.8300147,-1.241672133
 01/01  10:00:00,2.1875,13.77086488,43.51399879,618.6994890999999,-1.094448693
 01/01  11:00:00,2.4875,13.95891522,44.82776921,725.0761701,-0.995049911
 01/01  12:00:00,2.725,14.05274907,44.75606975,733.3892829,-0.990808693
 01/01  13:00:00,2.925,13.7155729,44.86673306,681.5907225999999,-1.011169642
 01/01  14:00:00,3.0625,13.8841275,43.69912532,669.1065011,-1.011575476
 01/01  15:00:00,3.1625,13.99927921,43.05978115,678.7032637,-0.994841642
 01/01  16:00:00,3.2,14.4811992,42.27824652,739.1121657000001,-0.9524469720000001
 01/01  17:00:00,3.2,14.27597216,42.7134448,736.9466288,-0.9471764429999999
 01/01  18:00:00,3.2,13.61715518,43.17623582,640.0429931,-1.008358757
 01/01  19:00:00,3.1375,13.02001785,43.38906681,528.1968603,-1.081025802
 01/01  20:00:00,3.1,12.66450989,43.51683609,451.02232069999997,-2.0979356019999997
 01/01  21:00:00,3.0375,12.58416818,43.60308449,421.61016219999993,-2.115288239
 01/01  22:00:00,3.0,12.55224336,43.87529434,413.7214331,-2.120481307
 01/01  23:00:00,2.9375,12.52566294,44.27234248,411.6055302,-2.122610781
 01/01  24:00:00,2.9,11.04324264,49.19184361,411.08647,-2.234677051
 01/02  01:00:00,2.8375,10.64893063,50.85934921,410.9166732,-1.359109678
 01/02  02:00:00,2.7375,10.56992745,51.57310441,410.860995,-1.371554858
 01/02  03:00:00,2.6375,10.49961282,52.48591196,410.8410832,-1.3814765580000001
 01/02  04:00:00,2.5375,10.43602324,53.45532311,410.8339626,-1.3896666030000002
 01/02  05:00:00,2.375,10.36012562,54.53837067,410.8314165,-1.398422108
 01/02  06:00:00,2.2375,10.28707217,55.65346809,410.8305062,-1.4077524069999998
 01/02  07:00:00,2.075,10.21462268,56.47854659,410.8301808,-1.416159675
 01/02  08:00:00,2.0,11.56829481,51.6273534,410.8300597,-1.320246977
 01/02  09:00:00,2.25,11.98071716,49.9888948,410.8300149,-1.235487462
 01/02  10:00:00,2.775,13.87761096,46.28180425,618.7652487,-1.082538005
 01/02  11:00:00,3.3125,14.16108869,46.43949702,725.3119494,-0.973309174
 01/02  12:00:00,3.875,14.37419786,44.40598303,733.7756778,-0.9613506340000001
 01/02  13:00:00,4.6,14.24017047,42.18763579,682.1496493,-0.9637223570000001
 01/02  14:00:00,5.4625,14.685089199999998,38.93310098,669.8605881,-0.9379067879999999
 01/02  15:00:00,6.4875,15.14809143,36.86122175,679.7953564,-0.885660764
 01/02  16:00:00,7.4625,15.89783143,36.08180799,740.8007695,-0.8092206359999999
 01/02  17:00:00,7.675,15.83297815,36.81749299,739.1154517000001,-0.779574167
 01/02  18:00:00,7.2875,15.14955856,37.32630936,641.8563058,-0.8355651270000001
 01/02  19:00:00,6.6625,14.39630278,37.66095764,529.2930611,-0.924286402
 01/02  20:00:00,5.9625,13.85621865,37.96178165,451.51640769999995,-1.958102802
 01/02  21:00:00,5.3875,13.60002295,38.58380462,421.78790260000005,-1.9927623159999999
