Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,10.97331092,50.97056993,410.832483,-1.295536382
 01/01  02:00:00,2.8125,10.87767733,53.58884917,410.8308875,-1.302534338
 01/01  03:00:00,2.5125,10.74892087,54.51337318,410.830317,-1.318482278
 01/01  04:00:00,2.2125,10.62315223,54.40440652,410.8301131,-1.337723765
 01/01  05:00:00,1.975,10.51349965,53.94821282,410.8300404,-1.35685343
 01/01  06:00:00,1.7125,10.40517787,53.30696855,410.8300144,-1.374700001
 01/01  07:00:00,1.6,10.32646106,52.565178,410.83000510000005,-1.392027405
 01/01  08:00:00,1.6625,11.74604509,47.18341283,410.83000130000005,-1.29160874
 01/01  09:00:00,1.8875,12.12632404,45.70224516,410.8300001,-1.210900655
 01/01  10:00:00,2.1875,13.98802014,42.44751396,576.5638882999999,-1.0615929259999999
 01/01  11:00:00,2.4875,14.43577621,42.04066528,621.5643127000001,-0.945464249
 01/01  12:00:00,2.725,14.75722612,41.0847134,616.7184717,-0.916684773
 01/01  13:00:00,2.925,14.66299575,40.51436866,572.8996614,-0.9126596240000001
 01/01  14:00:00,3.0625,14.99182353,39.23332706,571.6593217,-0.892377858
 01/01  15:00:00,3.1625,15.23882739,38.38205891,580.1463391,-0.860620908
 01/01  16:00:00,3.2,15.74287021,37.60100861,626.8163495,-0.812987578
 01/01  17:00:00,3.2,15.59361252,37.61349076,614.3940756,-0.8037722829999999
 01/01  18:00:00,3.2,14.98931485,38.06438093,539.3022451,-0.8555928420000001
 01/01  19:00:00,3.1375,14.41090516,38.716758,466.88674380000003,-0.921257661
 01/01  20:00:00,3.1,14.06098522,39.32554263,423.8785754,-1.9333544530000002
 01/01  21:00:00,3.0375,13.93237469,39.84948049,412.5795548,-1.9509539790000001
 01/01  22:00:00,3.0,13.84566323,40.38184977,411.06469369999996,-1.961669079
 01/01  23:00:00,2.9375,13.76045492,40.94985538,410.8614924,-1.9677020530000002
 01/01  24:00:00,2.9,11.51285167,47.78522101,410.83743210000006,-2.136943683
 01/02  01:00:00,2.8375,10.89255311,50.06598611,410.8324867,-1.310041793
 01/02  02:00:00,2.7375,10.79875626,50.8019564,410.83088849999996,-1.3256233929999999
 01/02  03:00:00,2.6375,10.71907987,51.72715956,410.8303175,-1.337433434
 01/02  04:00:00,2.5375,10.64828213,52.70542068,410.83011339999996,-1.3470729769999998
 01/02  05:00:00,2.375,10.56645015,53.79337649,410.8300405,-1.357029447
